table,row_count,domain,geo_grain,geo_key,distinct_geos,date_column,vintage,verdict,note
geojson_boundaries,3331,_canvas,zcta_or_other,geo_id,3273,,,—,"canvas / geo helper, not a layer"
county_elevation,3221,_geo_meta,state,state,52,collected_at,2026-03-06 19:04:37.995113 → 2026-03-08 01:09:59.682669,—,"canvas / geo helper, not a layer"
county_regulatory_scores,15789,_geo_meta,county,county_fips,3024,,,—,"canvas / geo helper, not a layer"
government_unit,3139,_geo_meta,county,county_fips,3139,collected_at,2026-03-11 20:33:09.552189 → 2026-03-11 20:33:45.827888,—,"canvas / geo helper, not a layer"
usda_crop_production,6200,agriculture,national,,,year,2024 → 2026,—,national time-series / context — not a layer
usda_livestock,433,agriculture,national,,,year,2026 → 2026,—,national time-series / context — not a layer
usda_truck_rate,100,agriculture,national,,,collected_at,2026-02-03 16:51:54.211798 → 2026-03-11 21:57:19.783366,—,national time-series / context — not a layer
acs5_2021_b01001,169,demographics,state,state_fips,52,,,✅,state grain (52 states)
acs5_2023_b01001,370,demographics,state,state_fips,52,,,✅,state grain (52 states)
irs_soi_business_income,110398,demographics,state,state_code,51,tax_year,2018 → 2021,✅,state grain (51 states)
irs_soi_county_income,100544,demographics,state,state_code,51,tax_year,2018 → 2021,✅,state grain (51 states)
irs_soi_zip_income,331168,demographics,state,state_code,51,tax_year,2019 → 2021,✅,state grain (51 states)
acs5_2015_b01001,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2015_b19013,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2020_b01001,58,demographics,state,state_fips,1,,,🟡,state grain (partial: 1)
acs5_2022_b01001,58,demographics,state,state_fips,1,,,🟡,state grain (partial: 1)
acs5_2022_b01003,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2022_b02001,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2022_b08301,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2022_b15003,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2022_b19013,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2022_b23025,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2022_b25003,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2022_b25077,-1,demographics,state,state_fips,0,,,🟡,state grain (partial: 0)
acs5_2023_b19013,33772,demographics,state,state_fips,0,,,⏸,ZIP-keyed; county layer deferred to PLAN_067 SPEC_070
irs_soi_migration,447240,demographics,national,,,tax_year,2018 → 2021,—,national time-series / context — not a layer
fema_hma_projects,52661,disaster,state,state_code,59,ingested_at,2026-01-02 01:22:47.963259 → 2026-02-09 01:39:01.600701,✅,state grain (59 states)
flood_zone,9107,disaster,state,state,51,collected_at,2026-03-11 20:37:49.243198 → 2026-03-11 22:01:29.665903,✅,state grain (51 states)
national_risk_index,3564,disaster,county,county_fips,3564,collected_at,2026-02-15 23:30:38.109994 → 2026-03-05 14:54:05.420974,✅,full county (3564)
fema_disaster_declarations,51093,disaster,county,fips_county_code,333,fy_declared,1999 → 2026,🟡,partial county coverage (333/~3143)
fema_pa_projects,100000,disaster,state,state,0,obligation_date,,🟡,state grain (partial: 0)
census_business_patterns,63000,economy,state,state_fips,50,year,2022 → 2022,✅,state grain (50 states)
census_cbp,7160,economy,county,county_fips,2792,year,2021 → 2021,✅,full county (2792)
bea_gdp_industry,-1,economy,national,,,ingested_at,,—,national time-series / context — not a layer
bea_international,65,economy,national,,,ingested_at,2026-02-09 01:41:18.115463 → 2026-02-09 01:41:18.115463,—,national time-series / context — not a layer
bea_nipa,1740,economy,national,,,ingested_at,2026-02-09 01:53:09.895326 → 2026-03-11 20:23:03.583491,—,national time-series / context — not a layer
bea_regional,1080,economy,national,,,ingested_at,2026-01-02 00:34:57.874555 → 2026-02-09 01:41:17.115214,—,national time-series / context — not a layer
bls_ces_employment,505,economy,national,,,year,2019 → 2026,—,national time-series / context — not a layer
bls_cpi,1536,economy,national,,,year,2015 → 2025,—,national time-series / context — not a layer
bls_cpi_consumer_prices,60,economy,national,,,year,2019 → 2023,—,national time-series / context — not a layer
bls_cps_labor_force,924,economy,national,,,year,2015 → 2025,—,national time-series / context — not a layer
bls_cps_unemployment,180,economy,national,,,year,2019 → 2023,—,national time-series / context — not a layer
bls_jolts,1320,economy,national,,,year,2015 → 2025,—,national time-series / context — not a layer
bls_jolts_openings,-1,economy,national,,,year,,—,national time-series / context — not a layer
bls_oes,40,economy,national,,,year,2024 → 2024,—,national time-series / context — not a layer
bls_ppi,660,economy,national,,,year,2015 → 2025,—,national time-series / context — not a layer
bls_ppi_producer_prices,60,economy,national,,,year,2019 → 2023,—,national time-series / context — not a layer
power_plant,14131,energy,point,lat/lon,,collected_at,2026-02-03 19:52:17.033822 → 2026-04-15 03:13:45.367933,✅,"point layer (14,131 features)"
renewable_resource,3179,energy,point,lat/lon,,collected_at,2026-03-06 16:09:47.921885 → 2026-04-15 03:15:26.997847,✅,"point layer (3,179 features)"
substation,8738,energy,point,lat/lon,,collected_at,2026-02-03 19:54:12.271889 → 2026-04-15 03:13:20.370165,✅,"point layer (8,738 features)"
electricity_price,40378,energy,national,,,collected_at,2026-02-02 20:18:33.646713 → 2026-04-15 03:14:30.624584,—,national time-series / context — not a layer
transmission_line,52244,energy,national,,,collected_at,2026-04-15 03:15:33.507851 → 2026-04-15 03:15:34.458813,—,national time-series / context — not a layer
utility_rate,8393,energy,national,,,collected_at,2026-02-03 18:27:21.169296 → 2026-04-15 03:15:06.774726,—,national time-series / context — not a layer
brownfield_site,45204,environment,point,lat/lon,,collected_at,2026-03-07 23:28:51.124143 → 2026-03-11 22:00:59.906491,✅,"point layer (45,204 features)"
environmental_facility,64505,environment,point,lat/lon,,collected_at,2026-02-25 02:44:34.831522 → 2026-03-11 21:24:00.597915,✅,"point layer (64,505 features)"
epa_echo_facilities,1068232,environment,point,lat/lon,,ingested_at,2026-03-07 23:28:34.064005 → 2026-03-08 22:27:02.334639,✅,"point layer (1,068,232 features)"
epa_ghg_emissions,2000,environment,point,lat/lon,,ingested_at,2026-03-31 18:47:15.011612 → 2026-03-31 18:47:56.772465,✅,"point layer (2,000 features)"
water_monitoring_site,33279,environment,point,lat/lon,,collected_at,2026-02-03 18:26:55.994846 → 2026-03-11 22:01:23.838191,✅,"point layer (33,279 features)"
wetland,39893,environment,state,state,51,collected_at,2026-03-06 03:55:28.575805 → 2026-03-11 22:00:54.717306,✅,state grain (51 states)
public_water_system,277089,environment,state,state,21,collected_at,2026-02-03 18:27:21.041723 → 2026-03-11 21:01:58.188511,🟡,state grain (partial: 21)
water_system_violation,-1,environment,national,,,collected_at,,—,national time-series / context — not a layer
usaspending_awards,10190,federal,national,,,period_of_performance_start,,⏸,Deferred to PLAN_067 SPEC_071 — thin/dateless
fdic_institutions,4370,finance,county,stcnty,1960,ingested_at,2026-01-12 17:03:05.998303 → 2026-02-13 22:18:24.136953,🟡,partial county coverage (1960/~3143)
fdic_summary_deposits,-1,finance,county,stcnty,0,year,,🟡,partial county coverage (0/~3143)
fdic_bank_financials,1674936,finance,national,,,repdte,1984-03-31 → 2025-12-31,—,national time-series / context — not a layer
fdic_failed_banks,3626,finance,national,,,ingested_at,2026-03-11 23:28:17.563464 → 2026-03-11 23:28:31.340764,—,national time-series / context — not a layer
ffiec_bank_calls,4658,finance,national,,,ingested_at,2026-03-31 17:46:46.661868 → 2026-03-31 18:17:20.210166,—,national time-series / context — not a layer
fred_commodities,17516,finance,national,,,date,1986-01-02 → 2026-05-04,—,national time-series / context — not a layer
fred_consumer_sentiment,631,finance,national,,,date,1965-02-01 → 2026-03-01,—,national time-series / context — not a layer
fred_economic_indicators,3105,finance,national,,,date,1965-01-01 → 2026-04-01,—,national time-series / context — not a layer
fred_industrial_production,2832,finance,national,,,date,1965-01-01 → 2026-03-01,—,national time-series / context — not a layer
fred_interest_rates,104585,finance,national,,,date,1965-01-01 → 2026-05-07,—,national time-series / context — not a layer
fred_monetary_aggregates,2935,finance,national,,,date,1965-01-01 → 2026-03-01,—,national time-series / context — not a layer
sec_10k,789,finance,national,,,,,—,national time-series / context — not a layer
sec_10q,2475,finance,national,,,,,—,national time-series / context — not a layer
sec_8k,-1,finance,national,,,,,—,national time-series / context — not a layer
sec_balance_sheet,97439,finance,national,,,fiscal_year,2008 → 44012,—,national time-series / context — not a layer
sec_cash_flow_statement,97439,finance,national,,,fiscal_year,2008 → 44012,—,national time-series / context — not a layer
sec_company_metadata,2306,finance,national,,,ingested_at,2026-05-12 → 2026-05-12,—,national time-series / context — not a layer
sec_filing_sections,-1,finance,national,,,,,—,national time-series / context — not a layer
sec_financial_facts,33140,finance,national,,,fiscal_year,2009 → 2026,—,national time-series / context — not a layer
sec_form_adv,-1,finance,national,,,ingested_at,,—,national time-series / context — not a layer
sec_form_adv_personnel,-1,finance,national,,,ingested_at,,—,national time-series / context — not a layer
sec_income_statement,97439,finance,national,,,fiscal_year,2008 → 44012,—,national time-series / context — not a layer
treasury_auctions,2686,finance,national,,,record_date,2020-01-07 → 2026-02-12,—,national time-series / context — not a layer
treasury_daily_balance,247356,finance,national,,,record_calendar_year,2020 → 2026,—,national time-series / context — not a layer
treasury_debt_outstanding,6,finance,national,,,record_calendar_year,2020 → 2025,—,national time-series / context — not a layer
treasury_interest_rates,1237,finance,national,,,record_calendar_year,2020 → 2026,—,national time-series / context — not a layer
treasury_monthly_statement,9904,finance,national,,,record_calendar_year,2020 → 2025,—,national time-series / context — not a layer
cms_hospitals,5426,health,state,state,56,ingested_at,2026-03-31 17:50:50.992943 → 2026-03-31 18:22:23.700015,✅,state grain (56 states)
medspa_zip_affordability,911,health,state,state_abbr,22,,,🟡,state grain (partial: 22)
cms_drug_pricing,71595,health,national,,,year,2019 → 2023,—,national time-series / context — not a layer
cms_hospital_cost_reports,10,health,national,,,,,—,national time-series / context — not a layer
cms_medicare_utilization,21260,health,national,,,,,—,national time-series / context — not a layer
medspa_prospect_snapshots,-1,health,national,,,,,—,national time-series / context — not a layer
nppes_providers,39817,health,national,,,,,—,national time-series / context — not a layer
broadband_availability,10512,infrastructure,point,lat/lon,,collected_at,2026-02-25 03:40:30.854125 → 2026-03-11 21:40:40.480105,✅,"point layer (10,512 features)"
data_center_facility,1383,infrastructure,point,lat/lon,,collected_at,2026-02-22 01:35:59.860966 → 2026-03-07 23:40:21.43584,✅,"point layer (1,383 features)"
fcc_broadband_coverage,10145,infrastructure,national,,,ingested_at,2026-02-26 15:52:34.179421 → 2026-03-11 22:00:54.232749,—,national time-series / context — not a layer
fcc_broadband_summary,51,infrastructure,national,,,ingested_at,2026-02-26 15:52:34.463944 → 2026-03-11 22:00:54.592133,—,national time-series / context — not a layer
intl_worldbank_countries,296,international,point,lat/lon,,ingested_at,2026-02-09 01:35:34.192581 → 2026-02-09 01:35:34.192581,✅,point layer (296 features)
intl_bis_eer,-1,international,national,,,ingested_at,,—,national time-series / context — not a layer
intl_bis_property,-1,international,national,,,ingested_at,,—,national time-series / context — not a layer
intl_imf_ifs,-1,international,national,,,ingested_at,,—,national time-series / context — not a layer
intl_oecd_alfs,893,international,national,,,ingested_at,2025-12-31 21:13:54.475294 → 2026-02-09 01:42:29.678099,—,national time-series / context — not a layer
intl_oecd_batis,-1,international,national,,,ingested_at,,—,national time-series / context — not a layer
intl_oecd_kei,18897,international,national,,,ingested_at,2025-12-31 21:13:09.032457 → 2026-02-09 01:45:22.660179,—,national time-series / context — not a layer
