# SPEC_060 CBP coverage audit,2026-05-17T02:31:31.919901+00:00
# verdict,NO
# verdict: NO
# NAICS-4 × MSA is NOT feasible. Fall back to NAICS × state for the structural-density section (SPEC_061 §3); intake (SPEC_064) becomes NAICS × state with optional county/MSA narrowing for other sections.
"# census_business_patterns NAICS digit coverage: 2d=661, 3d=3236, 4d=10059, 5d=21005, 6d=28408"
"# census_cbp grain breakdown: county/6d: n=7160, counties=2792, states=55"
"# MSA coverage in census_cbp county rows: 359/393 MSAs ≥90% covered, 386/393 ≥50%"

section,naics_code,table,states_covered,counties_covered,years_covered,sum_establishments
naics_detail,1131,census_business_patterns,29,n/a (state grain),1,464
naics_detail,1132,census_business_patterns,18,n/a (state grain),1,154
naics_detail,1133,census_business_patterns,44,n/a (state grain),1,7439
naics_detail,1141,census_business_patterns,35,n/a (state grain),1,2188
naics_detail,1142,census_business_patterns,36,n/a (state grain),1,404
naics_detail,1151,census_business_patterns,44,n/a (state grain),1,5041
naics_detail,1152,census_business_patterns,48,n/a (state grain),1,4705
naics_detail,1153,census_business_patterns,43,n/a (state grain),1,1833
naics_detail,2111,census_business_patterns,37,n/a (state grain),1,5154
naics_detail,2121,census_business_patterns,18,n/a (state grain),1,474
naics_detail,2122,census_business_patterns,18,n/a (state grain),1,295
naics_detail,2123,census_business_patterns,48,n/a (state grain),1,5049
naics_detail,2131,census_business_patterns,44,n/a (state grain),1,11407
naics_detail,2211,census_business_patterns,49,n/a (state grain),1,12617
naics_detail,2212,census_business_patterns,48,n/a (state grain),1,2371
naics_detail,2213,census_business_patterns,48,n/a (state grain),1,4946
naics_detail,2361,census_business_patterns,49,n/a (state grain),1,199696
naics_detail,2362,census_business_patterns,49,n/a (state grain),1,41171
naics_detail,2371,census_business_patterns,49,n/a (state grain),1,19117
naics_detail,2372,census_business_patterns,48,n/a (state grain),1,4443
naics_detail,2373,census_business_patterns,48,n/a (state grain),1,8759
naics_detail,2379,census_business_patterns,47,n/a (state grain),1,4452
naics_detail,2381,census_business_patterns,48,n/a (state grain),1,97549
naics_detail,2382,census_business_patterns,47,n/a (state grain),1,189941
naics_detail,2383,census_business_patterns,47,n/a (state grain),1,118727
naics_detail,2389,census_business_patterns,47,n/a (state grain),1,75151
naics_detail,3111,census_business_patterns,43,n/a (state grain),1,1732
naics_detail,3112,census_business_patterns,40,n/a (state grain),1,889
naics_detail,3113,census_business_patterns,46,n/a (state grain),1,1773
naics_detail,3114,census_business_patterns,45,n/a (state grain),1,1787
naics_detail,3115,census_business_patterns,44,n/a (state grain),1,1447
naics_detail,3116,census_business_patterns,46,n/a (state grain),1,3421
naics_detail,3117,census_business_patterns,23,n/a (state grain),1,441
naics_detail,3118,census_business_patterns,47,n/a (state grain),1,12510
naics_detail,3119,census_business_patterns,47,n/a (state grain),1,4415
naics_detail,3121,census_business_patterns,47,n/a (state grain),1,11199
naics_detail,3122,census_business_patterns,12,n/a (state grain),1,101
naics_detail,3131,census_business_patterns,23,n/a (state grain),1,227
naics_detail,3132,census_business_patterns,34,n/a (state grain),1,730
naics_detail,3133,census_business_patterns,35,n/a (state grain),1,728
naics_detail,3141,census_business_patterns,42,n/a (state grain),1,1293
naics_detail,3149,census_business_patterns,45,n/a (state grain),1,3546
naics_detail,3151,census_business_patterns,15,n/a (state grain),1,175
naics_detail,3152,census_business_patterns,45,n/a (state grain),1,3701
naics_detail,3159,census_business_patterns,34,n/a (state grain),1,660
naics_detail,3161,census_business_patterns,20,n/a (state grain),1,131
naics_detail,3162,census_business_patterns,22,n/a (state grain),1,186
naics_detail,3169,census_business_patterns,39,n/a (state grain),1,622
naics_detail,3211,census_business_patterns,42,n/a (state grain),1,2497
naics_detail,3212,census_business_patterns,43,n/a (state grain),1,1290
naics_detail,3219,census_business_patterns,45,n/a (state grain),1,8592
naics_detail,3221,census_business_patterns,31,n/a (state grain),1,327
naics_detail,3222,census_business_patterns,40,n/a (state grain),1,2892
naics_detail,3231,census_business_patterns,45,n/a (state grain),1,19432
naics_detail,3241,census_business_patterns,41,n/a (state grain),1,1788
naics_detail,3251,census_business_patterns,42,n/a (state grain),1,2118
naics_detail,3252,census_business_patterns,39,n/a (state grain),1,1263
naics_detail,3253,census_business_patterns,40,n/a (state grain),1,884
naics_detail,3254,census_business_patterns,42,n/a (state grain),1,2552
naics_detail,3255,census_business_patterns,39,n/a (state grain),1,1442
naics_detail,3256,census_business_patterns,43,n/a (state grain),1,2204
naics_detail,3259,census_business_patterns,42,n/a (state grain),1,1904
naics_detail,3261,census_business_patterns,44,n/a (state grain),1,8298
naics_detail,3262,census_business_patterns,41,n/a (state grain),1,1598
naics_detail,3271,census_business_patterns,38,n/a (state grain),1,893
naics_detail,3272,census_business_patterns,41,n/a (state grain),1,1349
naics_detail,3273,census_business_patterns,45,n/a (state grain),1,7126
naics_detail,3274,census_business_patterns,29,n/a (state grain),1,213
naics_detail,3279,census_business_patterns,43,n/a (state grain),1,2783
naics_detail,3311,census_business_patterns,23,n/a (state grain),1,252
naics_detail,3312,census_business_patterns,31,n/a (state grain),1,607
naics_detail,3313,census_business_patterns,27,n/a (state grain),1,370
naics_detail,3314,census_business_patterns,33,n/a (state grain),1,649
naics_detail,3315,census_business_patterns,39,n/a (state grain),1,1155
naics_detail,3321,census_business_patterns,39,n/a (state grain),1,1726
naics_detail,3322,census_business_patterns,37,n/a (state grain),1,905
naics_detail,3323,census_business_patterns,44,n/a (state grain),1,11988
naics_detail,3324,census_business_patterns,39,n/a (state grain),1,1098
naics_detail,3325,census_business_patterns,37,n/a (state grain),1,470
naics_detail,3326,census_business_patterns,35,n/a (state grain),1,862
naics_detail,3327,census_business_patterns,44,n/a (state grain),1,18764
naics_detail,3328,census_business_patterns,43,n/a (state grain),1,4621
